,Medicine Name,Description
0,Acarbose,"  Obat ini adalah salah satu dari banyak golongan obat untuk pengobatan diabetes melitus (DM) tipe 2. Namun acarbose hanya diberikan pada penderita diabetes mellitus yang sudah tidak bisa diterapi dengan obat antidiabetes yang diminum lainnya.    Baca juga: Gula Darah Stabil, Bolehkah Berhenti Minum Obat Diabetes? "
1,Acetazolamide,"  Kamu tahu penyakit mata glukoma kan? Nah obat ini digunakan bersama obat lain untuk mengobati berbagai jenis glukoma, yaitu glukoma sudut terbuka, glukoma sekunder, atau sebelum operasi glukoma dengan sudut tertutup.   Obat ini bekerja dengan mengurangi jumlah cairan yang dapat menumpuk di bola mata dan menyebabkan ketegangan di bola mata, sebagai penyebab glukoma. Tidak hanya di mata, penumpukan cairan di tubuh (bengkak/edema) akibat penyakit gagal jantung kongestif atau pengaruh obat-obatan tertentu juga bisa diterapi dengan acetazolamide.   Kinerja Acetazolamide dapat menurun seiring waktu, sehingga biasanya hanya digunakan dengan durasi singkat. Di luar kerjanya untuk mengurangi cairan tubuh dan mata, rupanya obat ini juga bisa digunakan dengan obat lain untuk mengobati epilepsi (penyakit ayan).   Baca juga: Fakta Gangguan Mata yang Perlu Kamu Ketahui! "
2,Acetylcysteine,"  Saat seseorang kebanyakan minum parasetamol hingga overdosis, obat ini adalah penawarnya. Selain itu digunakan untuk mencegah kerusakan ginjal, sebagai mukolitik atau mengencerkan dahak.   Obat ini juga diberikan pada pasien gangguan bronkopulmonalis akut dan kronis seperti pneumonia, bronkitis, emfisema, tracheobronchitis, bronkitis kronis asma, TBC, bronkiektasis, amiloidosis paru-paru primer, atelektasis (pengerutan jaringan paru) yang disebabkan oleh penyumbatan lendir.   Penderita kista fibrosis paru, umumnya akan memproduksi dahak normal, kental, atau dahak yang mengental sehingga saluran napas menjadi lengket. Dahak perlu dicairkan dengan mukolitik, salah satunya dengan acetylcysteine.   Baca juga: Memilih Obat Batuk, Kenali Dulu Jenis Batuknya! "
3,Acrivastine,"  Acrivastine adalah obat yang digunakan untuk mengatasi rhinitis akibat perubahan musim. Selain itu, obat ini juga digunakan untuk mengobati idiopati urtikaria kronis (gatal-gatal atau biduran yang belum jelas penyebabnya) . (https://www.mims.com/indonesia/drug/info/acrivastine/?q=acrivastine&mtype=generic) "
4,Acyclover Topical,"  Acyclovir topikal ini sama dengan acyclovir pada umumnya, hanya saja pentuknya salep. Digunakan untuk pengobatan infeksi herpes simpleks (herpes pada alat kelamin), mencegah herpes simpleks berulang, pencegahan herpes simplex pada pasien yang bermasalah dengan sistem imun, pengobatan Varicella Zoster (cacar air), pengobatan Herpes Zoster (cacar ular/cacar api), pengobatan herpes labialis (herpes pada bibir dan mulut) berulang, pengobatan pertama kali genital herpes, pengobatan herpes simplex encephalitis (peradangan otak akibat virus herpes) (https://www.mims.com/indonesia/drug/info/aciclovir) "
5,Acyclovir,"  Ini adalah obat antivirus untuk mengobati berbagai jenis infeksi herpes. Biasanya herpes simpleks pada pada alat kelamin, atau digunakan untuk mencegah kekambuhan.   Acyclovir juga digunakan untuk pencegahan herpes simplex pada pasien yang bermasalah dengan sistem imunnya. Jika Kamu cacar air (Varicella Zoster) atau cacar ular/cacar api (Herpes Zoster), Kamu akan diberikan obat ini.   Selain itu untuk mengobati herpesherpes labialis (herpes pada bibir dan mulut) yang berulang, pengobatan pertama kali genital herpes, dan pengobatan herpes simplex encephalitis (peradangan otak akibat virus herpes).   Baca juga: Selain Cacar Monyet, Penyakit-penyakit Ini Bisa Ditularkan dari Hewan ke Manusia! "
6,Albendazole,"  Albendazole adalah obat yang khusus digunakan untuk mengobati penyakit ekinokokus. Apa itu ekinokokus? Ialah sebuah penyakit yang disebabkan oleh cacing pita parasit, yang larvanya berasal dari anjing. Selain itu, obat ini juga digunakan untuk mengobati penyakit sistiserkosis, yaitu infeksi yang disebabkan oleh cacing pita. Larva dari cacing pita tersebut umumnya berasal dari daging babi, dan dapat memengaruhi otak, otot, serta jaringan lain.(https://www.mims.com/indonesia/drug/info/albendazole/) "
7,Albumin,"  Albumin digunakan sebagai pengobatan untuk Kamu yang mengalami kondisi hipovolemia (kekurangan cairan tubuh), hipoalbuminemia (kekurangan albumin, dan setelah tindakan pengeluaran cairan perut pada pasien ascites (penumpukan cairan di rongga perut sehingga perut membesar). Selain itu, albumin juga digunakan bersamaan dengan obat diuretik untuk menangani kelebihan volume cairan yang ada kaitan dengan Sindrom Distres Pernapasan Dewasa (ARDS). Obat ini dapat digunakan untuk mengobati edema (bengkak) pada pasien nefrosis (kerusakan nefron ginjal) akut yang sulit disembuhkan dengan terapi obat cyclophosphamide dan kortikosteroid. Albumin diindikasikan dalam pengobatan hiperbilirubinemia (kada bilirubin tinggi) pada bayi baru lahir. (https://www.farmasiana.com/human-albumin/human-albumin-20/) "
8,Allopurinol,"  Allopurinol merupakan obat yang digunakan untuk terapi asam urat. Asam urat dalam istilah medis disebut gout, yang ditandai dengan merah dan pembengkakan di sendi. Asam urat terjadi karena kelebihan asam urat di darah atau disebut hiperurisemia. Beberapa jenis kanker dapat menyebabkan hiperurisemia, dan dapat diobati dengan obat ini. Selain itu digunakan untuk mengobati penyumbatan akibat batu ginjal yang disebabkan kalsium oksalat yang kerap kambuh. (BNF 68th) "
9,Allylestrenol,"  Allylestrenol digunakan untuk Kamu yang berisiko tinggi mengalami keguguran saat hamil, keguguran berulang, risiko persalinan prematur serta mempersiapkan rahim sebelum terjadi pembuahan dan merangsang jaringan alveolar payudara untuk persiapan menyusui (ISO vol. 50) "
